#FILE:                       ;DTA_Z5A 20-05-23.ngb-dd9   
#FORMAT:                     ;NETZSCH5                   
#IDENTITY:                   ;Mariana                    
#DECIMAL:                    ;POINT                      
#SEPARATOR:                  ;SEMICOLON                  
#MTYPE:                      ;DTA                        
#INSTRUMENT:                 ;NETZSCH DSC 404F3          
#PROJECT:                    ;Mariana                    
#DATE/TIME:                  ;11/06/2023 16:04:32        
#CORR. FILE:                 ;DTA_Branco 19-05-23.ngb-bd9
#LABORATORY:                 ;DSC/DTA                    
#OPERATOR:                   ;Pamela                     
#REMARK:                     ;Mariana                    
#SAMPLE:                     ;Z5A                        
#SAMPLE MASS /mg:            ;231.5                      
#MATERIAL:                   ;B2O3                       
#REFERENCE:                  ;Empty                      
#REFERENCE MASS /mg:         ;0                          
#TYPE OF CRUCIBLE:           ;DTA/TG crucible Al2O3      
#SAMPLE CRUCIBLE MASS /mg:   ;1333.42                    
#REFERENCE CRUCIBLE MASS /mg:;1349.49                    
#CORR. CODE:                 ;020                        
#EXO:                        ;-1                         
#RANGE:                      ;20/10.0(K/min)/1300        
#SEGMENT:                    ;S1/1                       

##Temp./øC;Time/min;DTA/(uV/mg);Sensit./(uV/mW)
  18.74900;0.0000e+000;-2.0795e-002;1.00000
  18.74300;1.0000e-002;-2.0637e-002;1.00000
  18.74900;2.0000e-002;-2.0532e-002;1.00000
  18.76100;3.0000e-002;-2.0420e-002;1.00000
  18.75700;4.0000e-002;-2.0291e-002;1.00000
  18.77400;5.0000e-002;-2.0199e-002;1.00000
  18.75800;6.0000e-002;-2.0077e-002;1.00000
  18.75300;7.0000e-002;-1.9962e-002;1.00000
  18.74800;8.0000e-002;-1.9843e-002;1.00000
  18.74800;9.0000e-002;-1.9724e-002;1.00000
  18.74500;    0.10000;-1.9635e-002;1.00000
  18.75000;    0.11000;-1.9530e-002;1.00000
  18.71700;    0.12000;-1.9444e-002;1.00000
  18.74200;    0.13000;-1.9309e-002;1.00000
  18.73500;    0.14000;-1.9197e-002;1.00000
  18.74000;    0.15000;-1.9102e-002;1.00000
  18.74900;    0.16000;-1.8953e-002;1.00000
  18.74500;    0.17000;-1.8861e-002;1.00000
  18.74200;    0.18000;-1.8759e-002;1.00000
  18.73300;    0.19000;-1.8663e-002;1.00000
  18.73300;    0.20000;-1.8558e-002;1.00000
  18.73400;    0.21000;-1.8442e-002;1.00000
  18.72700;    0.22000;-1.8350e-002;1.00000
  18.74900;    0.23000;-1.8238e-002;1.00000
  18.73700;    0.24000;-1.8133e-002;1.00000
  18.74700;    0.25000;-1.8024e-002;1.00000
  18.73600;    0.26000;-1.7935e-002;1.00000
  18.72300;    0.27000;-1.7836e-002;1.00000
  18.72300;    0.28000;-1.7747e-002;1.00000
  18.73000;    0.29000;-1.7635e-002;1.00000
  18.72900;    0.30000;-1.7520e-002;1.00000
  18.72600;    0.31000;-1.7424e-002;1.00000
  18.74400;    0.32000;-1.7348e-002;1.00000
  18.74200;    0.33000;-1.7289e-002;1.00000
  18.75300;    0.34000;-1.7170e-002;1.00000
  18.73800;    0.35000;-1.7062e-002;1.00000
  18.73100;    0.36000;-1.7022e-002;1.00000
  18.73200;    0.37000;-1.6870e-002;1.00000
  18.73900;    0.38000;-1.6824e-002;1.00000
  18.72400;    0.39000;-1.6748e-002;1.00000
  18.71000;    0.40000;-1.6610e-002;1.00000
  18.73100;    0.41000;-1.6524e-002;1.00000
  18.75700;    0.42000;-1.6449e-002;1.00000
  18.74600;    0.43000;-1.6386e-002;1.00000
  18.75100;    0.44000;-1.6297e-002;1.00000
  18.76600;    0.45000;-1.6195e-002;1.00000
  18.75000;    0.46000;-1.6086e-002;1.00000
  18.76500;    0.47000;-1.5990e-002;1.00000
  18.76800;    0.48000;-1.5915e-002;1.00000
  18.76500;    0.49000;-1.5819e-002;1.00000
  18.75900;    0.50000;-1.5740e-002;1.00000
  18.74700;    0.51000;-1.5651e-002;1.00000
  18.75100;    0.52000;-1.5578e-002;1.00000
  18.76400;    0.53000;-1.5516e-002;1.00000
  18.78600;    0.54000;-1.5424e-002;1.00000
  18.77700;    0.55000;-1.5338e-002;1.00000
  18.78700;    0.56000;-1.5249e-002;1.00000
  18.77700;    0.57000;-1.5153e-002;1.00000
  18.77000;    0.58000;-1.5078e-002;1.00000
  18.77200;    0.59000;-1.4998e-002;1.00000
  18.80500;    0.60000;-1.4946e-002;1.00000
  18.80800;    0.61000;-1.4844e-002;1.00000
  18.80400;    0.62000;-1.4728e-002;1.00000
  18.81300;    0.63000;-1.4646e-002;1.00000
  18.80700;    0.64000;-1.4583e-002;1.00000
  18.81300;    0.65000;-1.4504e-002;1.00000
  18.82700;    0.66000;-1.4422e-002;1.00000
  18.83300;    0.67000;-1.4333e-002;1.00000
  18.83100;    0.68000;-1.4257e-002;1.00000
  18.83300;    0.69000;-1.4175e-002;1.00000
  18.83500;    0.70000;-1.4138e-002;1.00000
  18.85000;    0.71000;-1.4033e-002;1.00000
  18.84800;    0.72000;-1.3993e-002;1.00000
  18.84600;    0.73000;-1.3898e-002;1.00000
  18.85900;    0.74000;-1.3815e-002;1.00000
  18.87300;    0.75000;-1.3733e-002;1.00000
  18.88600;    0.76000;-1.3621e-002;1.00000
  18.87100;    0.77000;-1.3591e-002;1.00000
  18.90000;    0.78000;-1.3502e-002;1.00000
  18.90500;    0.79000;-1.3393e-002;1.00000
  18.91200;    0.80000;-1.3314e-002;1.00000
  18.89100;    0.81000;-1.3229e-002;1.00000
  18.91600;    0.82000;-1.3143e-002;1.00000
  18.92100;    0.83000;-1.3057e-002;1.00000
  18.92300;    0.84000;-1.2962e-002;1.00000
  18.93100;    0.85000;-1.2886e-002;1.00000
  18.95300;    0.86000;-1.2810e-002;1.00000
  18.94600;    0.87000;-1.2784e-002;1.00000
  18.96600;    0.88000;-1.2698e-002;1.00000
  18.96300;    0.89000;-1.2606e-002;1.00000
  18.98700;    0.90000;-1.2523e-002;1.00000
  18.98900;    0.91000;-1.2441e-002;1.00000
  19.00000;    0.92000;-1.2375e-002;1.00000
  18.99800;    0.93000;-1.2296e-002;1.00000
  19.01400;    0.94000;-1.2224e-002;1.00000
  19.01800;    0.95000;-1.2144e-002;1.00000
  19.02700;    0.96000;-1.2055e-002;1.00000
  19.04400;    0.97000;-1.1973e-002;1.00000
  19.03800;    0.98000;-1.1901e-002;1.00000
  19.07000;    0.99000;-1.1815e-002;1.00000
  19.06700;    1.00000;-1.1756e-002;1.00000
  19.08100;    1.01000;-1.1676e-002;1.00000
  19.08900;    1.02000;-1.1597e-002;1.00000
  19.10200;    1.03000;-1.1495e-002;1.00000
  19.11000;    1.04000;-1.1406e-002;1.00000
  19.11900;    1.05000;-1.1334e-002;1.00000
  19.12300;    1.06000;-1.1238e-002;1.00000
  19.14000;    1.07000;-1.1146e-002;1.00000
  19.15700;    1.08000;-1.1073e-002;1.00000
  19.18500;    1.09000;-1.1017e-002;1.00000
  19.18300;    1.10000;-1.0922e-002;1.00000
  19.18000;    1.11000;-1.0856e-002;1.00000
  19.18500;    1.12000;-1.0810e-002;1.00000
  19.21600;    1.13000;-1.0694e-002;1.00000
  19.22100;    1.14000;-1.0595e-002;1.00000
  19.25100;    1.15000;-1.0520e-002;1.00000
  19.24900;    1.16000;-1.0411e-002;1.00000
  19.26800;    1.17000;-1.0325e-002;1.00000
  19.28500;    1.18000;-1.0230e-002;1.00000
  19.29400;    1.19000;-1.0154e-002;1.00000
  19.31400;    1.20000;-1.0078e-002;1.00000
  19.32600;    1.21000;-9.9957e-003;1.00000
  19.34000;    1.22000;-9.9199e-003;1.00000
  19.35700;    1.23000;-9.8572e-003;1.00000
  19.37300;    1.24000;-9.7913e-003;1.00000
  19.39400;    1.25000;-9.6892e-003;1.00000
  19.39500;    1.26000;-9.6035e-003;1.00000
  19.42600;    1.27000;-9.5112e-003;1.00000
  19.41700;    1.28000;-9.4618e-003;1.00000
  19.43300;    1.29000;-9.3464e-003;1.00000
  19.42200;    1.30000;-9.2970e-003;1.00000
  19.47200;    1.31000;-9.1882e-003;1.00000
  19.51300;    1.32000;-9.1091e-003;1.00000
  19.52800;    1.33000;-9.0103e-003;1.00000
  19.52900;    1.34000;-8.9147e-003;1.00000
  19.54900;    1.35000;-8.8191e-003;1.00000
  19.57100;    1.36000;-8.7268e-003;1.00000
  19.58900;    1.37000;-8.6379e-003;1.00000
  19.59900;    1.38000;-8.5588e-003;1.00000
  19.62100;    1.39000;-8.4961e-003;1.00000
  19.64800;    1.40000;-8.3940e-003;1.00000
  19.64200;    1.41000;-8.3050e-003;1.00000
  19.66900;    1.42000;-8.2358e-003;1.00000
  19.69500;    1.43000;-8.1798e-003;1.00000
  19.72300;    1.44000;-8.1073e-003;1.00000
  19.72700;    1.45000;-7.9754e-003;1.00000
  19.75200;    1.46000;-7.8799e-003;1.00000
  19.75800;    1.47000;-7.7909e-003;1.00000
  19.77300;    1.48000;-7.6986e-003;1.00000
  19.79800;    1.49000;-7.5866e-003;1.00000
  19.82800;    1.50000;-7.5239e-003;1.00000
  19.83700;    1.51000;-7.4547e-003;1.00000
  19.86200;    1.52000;-7.3559e-003;1.00000
  19.89300;    1.53000;-7.2768e-003;1.00000
  19.90700;    1.54000;-7.1911e-003;1.00000
  19.92300;    1.55000;-7.0922e-003;1.00000
  19.95100;    1.56000;-7.0131e-003;1.00000
  19.96400;    1.57000;-6.9307e-003;1.00000
  19.98600;    1.58000;-6.8648e-003;1.00000
  20.01400;    1.59000;-6.7396e-003;1.00000
  20.05600;    1.60000;-6.6341e-003;1.00000
  20.05800;    1.61000;-6.5287e-003;1.00000
  20.08200;    1.62000;-6.4463e-003;1.00000
  20.11600;    1.63000;-6.3606e-003;1.00000
  20.14000;    1.64000;-6.2584e-003;1.00000
  20.16800;    1.65000;-6.1859e-003;1.00000
  20.18000;    1.66000;-6.1134e-003;1.00000
  20.20400;    1.67000;-6.0145e-003;1.00000
  20.25000;    1.68000;-5.9157e-003;1.00000
  20.25200;    1.69000;-5.8530e-003;1.00000
  20.28400;    1.70000;-5.7805e-003;1.00000
  20.28700;    1.71000;-5.6652e-003;1.00000
  20.31400;    1.72000;-5.5202e-003;1.00000
  20.34000;    1.73000;-5.4114e-003;1.00000
  20.38200;    1.74000;-5.3521e-003;1.00000
  20.40000;    1.75000;-5.2598e-003;1.00000
  20.41500;    1.76000;-5.1741e-003;1.00000
  20.43400;    1.77000;-5.0621e-003;1.00000
  20.47000;    1.78000;-4.9665e-003;1.00000
  20.49300;    1.79000;-4.8742e-003;1.00000
  20.52600;    1.80000;-4.7688e-003;1.00000
  20.54300;    1.81000;-4.6699e-003;1.00000
  20.56700;    1.82000;-4.5842e-003;1.00000
  20.60400;    1.83000;-4.5051e-003;1.00000
  20.64300;    1.84000;-4.3997e-003;1.00000
  20.65300;    1.85000;-4.3074e-003;1.00000
  20.69500;    1.86000;-4.1986e-003;1.00000
  20.71100;    1.87000;-4.1031e-003;1.00000
  20.74500;    1.88000;-3.9943e-003;1.00000
  20.75700;    1.89000;-3.8987e-003;1.00000
  20.78100;    1.90000;-3.8032e-003;1.00000
  20.81200;    1.91000;-3.7109e-003;1.00000
  20.84100;    1.92000;-3.6219e-003;1.00000
  20.87300;    1.93000;-3.5164e-003;1.00000
  20.91000;    1.94000;-3.4242e-003;1.00000
  20.93200;    1.95000;-3.3154e-003;1.00000
  20.96500;    1.96000;-3.2099e-003;1.00000
  20.99300;    1.97000;-3.1144e-003;1.00000
  21.00800;    1.98000;-3.0320e-003;1.00000
  21.04000;    1.99000;-2.9232e-003;1.00000
  21.06300;    2.00000;-2.8112e-003;1.00000
  21.11400;    2.01000;-2.6958e-003;1.00000
  21.13200;    2.02000;-2.5805e-003;1.00000
  21.16600;    2.03000;-2.5212e-003;1.00000
  21.20200;    2.04000;-2.4487e-003;1.00000
  21.23100;    2.05000;-2.3465e-003;1.00000
  21.25300;    2.06000;-2.2278e-003;1.00000
  21.28700;    2.07000;-2.1257e-003;1.00000
  21.31100;    2.08000;-2.0301e-003;1.00000
  21.34000;    2.09000;-1.9477e-003;1.00000
  21.38700;    2.10000;-1.8521e-003;1.00000
  21.42200;    2.11000;-1.7434e-003;1.00000
  21.42000;    2.12000;-1.6478e-003;1.00000
  21.46000;    2.13000;-1.5358e-003;1.00000
  21.49700;    2.14000;-1.4501e-003;1.00000
  21.52900;    2.15000;-1.3710e-003;1.00000
  21.57400;    2.16000;-1.2622e-003;1.00000
  21.60800;    2.17000;-1.1535e-003;1.00000
  21.63400;    2.18000;-1.0645e-003;1.00000
  21.65900;    2.19000;-9.7551e-004;1.00000
  21.69500;    2.20000;-8.5027e-004;1.00000
  21.71400;    2.21000;-7.3163e-004;1.00000
  21.75700;    2.22000;-6.3935e-004;1.00000
  21.78500;    2.23000;-5.8003e-004;1.00000
  21.82200;    2.24000;-4.7128e-004;1.00000
  21.86900;    2.25000;-3.9877e-004;1.00000
  21.90300;    2.26000;-2.6365e-004;1.00000
  21.93300;    2.27000;-1.5489e-004;1.00000
  21.96200;    2.28000;-6.2617e-005;1.00000
  21.99500;    2.29000; 4.2843e-005;1.00000
  22.03200;    2.30000; 1.7796e-004;1.00000
  22.07400;    2.31000; 2.6365e-004;1.00000
  22.09000;    2.32000; 3.3945e-004;1.00000
  22.15600;    2.33000; 3.9877e-004;1.00000
  22.18100;    2.34000; 4.7457e-004;1.00000
  22.19800;    2.35000; 5.7674e-004;1.00000
  22.24900;    2.36000; 7.1515e-004;1.00000
  22.26900;    2.37000; 8.3709e-004;1.00000
  22.29300;    2.38000; 9.4255e-004;1.00000
  22.34200;    2.39000; 1.0348e-003;1.00000
  22.38300;    2.40000; 1.1469e-003;1.00000
  22.42700;    2.41000; 1.2589e-003;1.00000
  22.47100;    2.42000; 1.3743e-003;1.00000
  22.49400;    2.43000; 1.4369e-003;1.00000
  22.52800;    2.44000; 1.5259e-003;1.00000
  22.57000;    2.45000; 1.6280e-003;1.00000
  22.60000;    2.46000; 1.7335e-003;1.00000
  22.64400;    2.47000; 1.8258e-003;1.00000
  22.68000;    2.48000; 1.9214e-003;1.00000
  22.70300;    2.49000; 2.0301e-003;1.00000
  22.74900;    2.50000; 2.1389e-003;1.00000
  22.78300;    2.51000; 2.2246e-003;1.00000
  22.80600;    2.52000; 2.3234e-003;1.00000
  22.86400;    2.53000; 2.4223e-003;1.00000
  22.89500;    2.54000; 2.5475e-003;1.00000
  22.95200;    2.55000; 2.6365e-003;1.00000
  22.97800;    2.56000; 2.7255e-003;1.00000
  23.03000;    2.57000; 2.8112e-003;1.00000
  23.06600;    2.58000; 2.9232e-003;1.00000
  23.08500;    2.59000; 3.0287e-003;1.00000
  23.12300;    2.60000; 3.1144e-003;1.00000
  23.17100;    2.61000; 3.2132e-003;1.00000
  23.21500;    2.62000; 3.2989e-003;1.00000
  23.25900;    2.63000; 3.3912e-003;1.00000
  23.29000;    2.64000; 3.5131e-003;1.00000
  23.33200;    2.65000; 3.6318e-003;1.00000
  23.38200;    2.66000; 3.7307e-003;1.00000
  23.41600;    2.67000; 3.8229e-003;1.00000
  23.46300;    2.68000; 3.9119e-003;1.00000
  23.49800;    2.69000; 3.9910e-003;1.00000
  23.54500;    2.70000; 4.0767e-003;1.00000
  23.58000;    2.71000; 4.1855e-003;1.00000
  23.62600;    2.72000; 4.2876e-003;1.00000
  23.63700;    2.73000; 4.4063e-003;1.00000
  23.69800;    2.74000; 4.5117e-003;1.00000
  23.73300;    2.75000; 4.5710e-003;1.00000
  23.77900;    2.76000; 4.6963e-003;1.00000
  23.81400;    2.77000; 4.7984e-003;1.00000
  23.86300;    2.78000; 4.8907e-003;1.00000
  23.90200;    2.79000; 5.0028e-003;1.00000
  23.96000;    2.80000; 5.1214e-003;1.00000
  23.98300;    2.81000; 5.2302e-003;1.00000
  24.04300;    2.82000; 5.3389e-003;1.00000
  24.07900;    2.83000; 5.4246e-003;1.00000
  24.13300;    2.84000; 5.4971e-003;1.00000
  24.15600;    2.85000; 5.5663e-003;1.00000
  24.22200;    2.86000; 5.6817e-003;1.00000
  24.25400;    2.87000; 5.7805e-003;1.00000
  24.29100;    2.88000; 5.8761e-003;1.00000
  24.33000;    2.89000; 5.9684e-003;1.00000
  24.37400;    2.90000; 6.0936e-003;1.00000
  24.44600;    2.91000; 6.1892e-003;1.00000
  24.48200;    2.92000; 6.2914e-003;1.00000
  24.51400;    2.93000; 6.3836e-003;1.00000
  24.55700;    2.94000; 6.4759e-003;1.00000
  24.60300;    2.95000; 6.5913e-003;1.00000
  24.66100;    2.96000; 6.7000e-003;1.00000
  24.69800;    2.97000; 6.7659e-003;1.00000
  24.74300;    2.98000; 6.8384e-003;1.00000
  24.78900;    2.99000; 6.9670e-003;1.00000
  24.84100;    3.00000; 7.0658e-003;1.00000
  24.88500;    3.01000; 7.1548e-003;1.00000
  24.92900;    3.02000; 7.2471e-003;1.00000
  24.99300;    3.03000; 7.3592e-003;1.00000
  25.05200;    3.04000; 7.4646e-003;1.00000
  25.07100;    3.05000; 7.5536e-003;1.00000
  25.12600;    3.06000; 7.6360e-003;1.00000
  25.17200;    3.07000; 7.7085e-003;1.00000
  25.22900;    3.08000; 7.8304e-003;1.00000
  25.26300;    3.09000; 7.9590e-003;1.00000
  25.31900;    3.10000; 8.0545e-003;1.00000
  25.36800;    3.11000; 8.1139e-003;1.00000
  25.41900;    3.12000; 8.2094e-003;1.00000
  25.46000;    3.13000; 8.3149e-003;1.00000
  25.53000;    3.14000; 8.4203e-003;1.00000
  25.56700;    3.15000; 8.5159e-003;1.00000
  25.61100;    3.16000; 8.6181e-003;1.00000
  25.68300;    3.17000; 8.7137e-003;1.00000
  25.73500;    3.18000; 8.7961e-003;1.00000
  25.77600;    3.19000; 8.8850e-003;1.00000
  25.81900;    3.20000; 8.9740e-003;1.00000
  25.86200;    3.21000; 9.0564e-003;1.00000
  25.91700;    3.22000; 9.1553e-003;1.00000
  25.97300;    3.23000; 9.2772e-003;1.00000
  26.01000;    3.24000; 9.3794e-003;1.00000
  26.07300;    3.25000; 9.4717e-003;1.00000
  26.11700;    3.26000; 9.5310e-003;1.00000
  26.16400;    3.27000; 9.6628e-003;1.00000
  26.22100;    3.28000; 9.7716e-003;1.00000
  26.27700;    3.29000; 9.8507e-003;1.00000
  26.32700;    3.30000; 9.9495e-003;1.00000
  26.37600;    3.31000; 1.0062e-002;1.00000
  26.42400;    3.32000; 1.0164e-002;1.00000
  26.47100;    3.33000; 1.0263e-002;1.00000
  26.53000;    3.34000; 1.0355e-002;1.00000
  26.58700;    3.35000; 1.0460e-002;1.00000
  26.64400;    3.36000; 1.0556e-002;1.00000
  26.68600;    3.37000; 1.0645e-002;1.00000
  26.75700;    3.38000; 1.0737e-002;1.00000
  26.81500;    3.39000; 1.0823e-002;1.00000
  26.86200;    3.40000; 1.0925e-002;1.00000
  26.91300;    3.41000; 1.1027e-002;1.00000
  26.94400;    3.42000; 1.1139e-002;1.00000
  27.01500;    3.43000; 1.1241e-002;1.00000
  27.08700;    3.44000; 1.1311e-002;1.00000
  27.12500;    3.45000; 1.1419e-002;1.00000
  27.19000;    3.46000; 1.1505e-002;1.00000
  27.24400;    3.47000; 1.1611e-002;1.00000
  27.28900;    3.48000; 1.1686e-002;1.00000
  27.35400;    3.49000; 1.1785e-002;1.00000
  27.42900;    3.50000; 1.1864e-002;1.00000
  27.47100;    3.51000; 1.1953e-002;1.00000
  27.53600;    3.52000; 1.2059e-002;1.00000
  27.58900;    3.53000; 1.2141e-002;1.00000
  27.65500;    3.54000; 1.2240e-002;1.00000
  27.71900;    3.55000; 1.2355e-002;1.00000
  27.76900;    3.56000; 1.2451e-002;1.00000
  27.82300;    3.57000; 1.2546e-002;1.00000
  27.89700;    3.58000; 1.2642e-002;1.00000
  27.93700;    3.59000; 1.2724e-002;1.00000
  27.99600;    3.60000; 1.2810e-002;1.00000
  28.05300;    3.61000; 1.2912e-002;1.00000
  28.12000;    3.62000; 1.2991e-002;1.00000
  28.17100;    3.63000; 1.3077e-002;1.00000
  28.22900;    3.64000; 1.3186e-002;1.00000
  28.28400;    3.65000; 1.3291e-002;1.00000
  28.36000;    3.66000; 1.3390e-002;1.00000
  28.42000;    3.67000; 1.3499e-002;1.00000
  28.48300;    3.68000; 1.3535e-002;1.00000
  28.52700;    3.69000; 1.3621e-002;1.00000
  28.60000;    3.70000; 1.3743e-002;1.00000
  28.65900;    3.71000; 1.3868e-002;1.00000
  28.72700;    3.72000; 1.3967e-002;1.00000
  28.79100;    3.73000; 1.4066e-002;1.00000
  28.85400;    3.74000; 1.4171e-002;1.00000
  28.92200;    3.75000; 1.4254e-002;1.00000
  28.97000;    3.76000; 1.4346e-002;1.00000
  29.03900;    3.77000; 1.4441e-002;1.00000
  29.10200;    3.78000; 1.4537e-002;1.00000
  29.16600;    3.79000; 1.4623e-002;1.00000
  29.22300;    3.80000; 1.4731e-002;1.00000
  29.28800;    3.81000; 1.4827e-002;1.00000
  29.36200;    3.82000; 1.4903e-002;1.00000
  29.40400;    3.83000; 1.5018e-002;1.00000
  29.47600;    3.84000; 1.5134e-002;1.00000
  29.53500;    3.85000; 1.5226e-002;1.00000
  29.60900;    3.86000; 1.5275e-002;1.00000
  29.67400;    3.87000; 1.5377e-002;1.00000
  29.73700;    3.88000; 1.5493e-002;1.00000
  29.81500;    3.89000; 1.5605e-002;1.00000
  29.87700;    3.90000; 1.5710e-002;1.00000
  29.92200;    3.91000; 1.5793e-002;1.00000
  30.00600;    3.92000; 1.5836e-002;1.00000
  30.07700;    3.93000; 1.5915e-002;1.00000
  30.14100;    3.94000; 1.6027e-002;1.00000
  30.20900;    3.95000; 1.6139e-002;1.00000
  30.26200;    3.96000; 1.6251e-002;1.00000
  30.33700;    3.97000; 1.6343e-002;1.00000
  30.40400;    3.98000; 1.6429e-002;1.00000
  30.46900;    3.99000; 1.6538e-002;1.00000
  30.53400;    4.00000; 1.6633e-002;1.00000
  30.60100;    4.01000; 1.6715e-002;1.00000
  30.64600;    4.02000; 1.6801e-002;1.00000
  30.71000;    4.03000; 1.6860e-002;1.00000
  30.81100;    4.04000; 1.7015e-002;1.00000
  30.87500;    4.05000; 1.7101e-002;1.00000
  30.94000;    4.06000; 1.7190e-002;1.00000
  31.00100;    4.07000; 1.7246e-002;1.00000
  31.08800;    4.08000; 1.7342e-002;1.00000
  31.17000;    4.09000; 1.7490e-002;1.00000
  31.22600;    4.10000; 1.7615e-002;1.00000
  31.30600;    4.11000; 1.7638e-002;1.00000
  31.37400;    4.12000; 1.7767e-002;1.00000
  31.44600;    4.13000; 1.7872e-002;1.00000
  31.51000;    4.14000; 1.7988e-002;1.00000
  31.57500;    4.15000; 1.8063e-002;1.00000
  31.64000;    4.16000; 1.8116e-002;1.00000
  31.72100;    4.17000; 1.8238e-002;1.00000
  31.79500;    4.18000; 1.8363e-002;1.00000
  31.86100;    4.19000; 1.8469e-002;1.00000
  31.92100;    4.20000; 1.8564e-002;1.00000
  32.01500;    4.21000; 1.8650e-002;1.00000
  32.09300;    4.22000; 1.8732e-002;1.00000
  32.13900;    4.23000; 1.8821e-002;1.00000
  32.21800;    4.24000; 1.8920e-002;1.00000
  32.28700;    4.25000; 1.9036e-002;1.00000
  32.36400;    4.26000; 1.9098e-002;1.00000
  32.44800;    4.27000; 1.9197e-002;1.00000
  32.52000;    4.28000; 1.9293e-002;1.00000
  32.59600;    4.29000; 1.9421e-002;1.00000
  32.67100;    4.30000; 1.9530e-002;1.00000
  32.74100;    4.31000; 1.9622e-002;1.00000
  32.82700;    4.32000; 1.9705e-002;1.00000
  32.88800;    4.33000; 1.9797e-002;1.00000
  32.96900;    4.34000; 1.9892e-002;1.00000
  33.03000;    4.35000; 1.9998e-002;1.00000
  33.11300;    4.36000; 2.0090e-002;1.00000
  33.19400;    4.37000; 2.0186e-002;1.00000
  33.25900;    4.38000; 2.0281e-002;1.00000
  33.34200;    4.39000; 2.0384e-002;1.00000
  33.42300;    4.40000; 2.0482e-002;1.00000
  33.49400;    4.41000; 2.0578e-002;1.00000
  33.56200;    4.42000; 2.0667e-002;1.00000
  33.65800;    4.43000; 2.0815e-002;1.00000
  33.72700;    4.44000; 2.0868e-002;1.00000
  33.80400;    4.45000; 2.0954e-002;1.00000
  33.87800;    4.46000; 2.1102e-002;1.00000
  33.95100;    4.47000; 2.1184e-002;1.00000
  34.03600;    4.48000; 2.1280e-002;1.00000
  34.11800;    4.49000; 2.1356e-002;1.00000
  34.20200;    4.50000; 2.1448e-002;1.00000
  34.27000;    4.51000; 2.1573e-002;1.00000
  34.34700;    4.52000; 2.1675e-002;1.00000
  34.43600;    4.53000; 2.1771e-002;1.00000
  34.50000;    4.54000; 2.1867e-002;1.00000
  34.58900;    4.55000; 2.1979e-002;1.00000
  34.67000;    4.56000; 2.2091e-002;1.00000
  34.76100;    4.57000; 2.2199e-002;1.00000
  34.84200;    4.58000; 2.2272e-002;1.00000
  34.91700;    4.59000; 2.2344e-002;1.00000
  34.99000;    4.60000; 2.2433e-002;1.00000
  35.08700;    4.61000; 2.2549e-002;1.00000
  35.16000;    4.62000; 2.2667e-002;1.00000
  35.23400;    4.63000; 2.2746e-002;1.00000
  35.31500;    4.64000; 2.2862e-002;1.00000
  35.40400;    4.65000; 2.2967e-002;1.00000
  35.47900;    4.66000; 2.3066e-002;1.00000
  35.57800;    4.67000; 2.3182e-002;1.00000
  35.65700;    4.68000; 2.3274e-002;1.00000
  35.72800;    4.69000; 2.3373e-002;1.00000
  35.80200;    4.70000; 2.3475e-002;1.00000
  35.89900;    4.71000; 2.3554e-002;1.00000
  35.95800;    4.72000; 2.3617e-002;1.00000
  36.04500;    4.73000; 2.3742e-002;1.00000
  36.14200;    4.74000; 2.3847e-002;1.00000
  36.20900;    4.75000; 2.3963e-002;1.00000
  36.29800;    4.76000; 2.4048e-002;1.00000
  36.38200;    4.77000; 2.4141e-002;1.00000
  36.45800;    4.78000; 2.4233e-002;1.00000
  36.53000;    4.79000; 2.4368e-002;1.00000
  36.63800;    4.80000; 2.4417e-002;1.00000
  36.73500;    4.81000; 2.4536e-002;1.00000
  36.82200;    4.82000; 2.4612e-002;1.00000
  36.89800;    4.83000; 2.4711e-002;1.00000
  36.98600;    4.84000; 2.4823e-002;1.00000
  37.05500;    4.85000; 2.4945e-002;1.00000
  37.14500;    4.86000; 2.5044e-002;1.00000
  37.23600;    4.87000; 2.5152e-002;1.00000
  37.32000;    4.88000; 2.5254e-002;1.00000
  37.42800;    4.89000; 2.5357e-002;1.00000
  37.48600;    4.90000; 2.5472e-002;1.00000
  37.58400;    4.91000; 2.5551e-002;1.00000
  37.67500;    4.92000; 2.5666e-002;1.00000
  37.75100;    4.93000; 2.5759e-002;1.00000
  37.85400;    4.94000; 2.5854e-002;1.00000
  37.94500;    4.95000; 2.5950e-002;1.00000
  38.02700;    4.96000; 2.6052e-002;1.00000
  38.12300;    4.97000; 2.6148e-002;1.00000
  38.20600;    4.98000; 2.6243e-002;1.00000
  38.29000;    4.99000; 2.6362e-002;1.00000
  38.37900;    5.00000; 2.6461e-002;1.00000
  38.46800;    5.01000; 2.6550e-002;1.00000
  38.57200;    5.02000; 2.6622e-002;1.00000
  38.64700;    5.03000; 2.6790e-002;1.00000
  38.74000;    5.04000; 2.6853e-002;1.00000
  38.82200;    5.05000; 2.6958e-002;1.00000
  38.91900;    5.06000; 2.7084e-002;1.00000
  38.99400;    5.07000; 2.7199e-002;1.00000
  39.11700;    5.08000; 2.7285e-002;1.00000
  39.19900;    5.09000; 2.7390e-002;1.00000
  39.28400;    5.10000; 2.7499e-002;1.00000
  39.39900;    5.11000; 2.7594e-002;1.00000
  39.46400;    5.12000; 2.7697e-002;1.00000
  39.55900;    5.13000; 2.7766e-002;1.00000
